WarehouseID,Region,Address
141,Ramat HaSharon,Sokolov St 12
142,Nes Ziona,Weizmann 55
143,Yavne,HaAtzmaut 4
144,Or Yehuda,Savyon 9
145,Yehud,Altalena 3
146,Kiryat Ata,Atzmaut 22
147,Kiryat Motzkin,Ben Gurion 15
148,Kiryat Bialik,Herzl 90
149,Kiryat Yam,HaGalil 5
150,Ma'ale Adumim,Nofei Sela 1
151,Jerusalem,King George 12
152,Tel Aviv,Allenby St 90
153,Haifa,Mount Carmel
154,Beersheba,University Road
155,Eilat,Dekel Beach Road
156,Ashdod,Marina Hub
157,Netanya,Poleg North
158,Petah Tikva,Segula Hub
159,Rishon LeZion,HaHistadrut 20
160,Holon,Kugel Blvd
161,Rehovot,Bilu Center
162,Herzliya,Arena Park
163,Ra'anana,Park Business Area
164,Modi'in,Ishpro Hub
165,Hadera,East Zone
166,Kfar Saba,G-Center Hub
167,Lod,Airport City Hub
168,Ramla,North Hub
169,Beit Shemesh,Big Center Hub
170,Acre,Azrieli Hub
171,Tiberias,Big Hub
172,Nazareth,Downtown Hub
173,Karmiel,South Hub
174,Nahariya,Seafront Hub
175,Afula,Valley Hub
176,Kiryat Gat,Logistics Hub 1
177,Kiryat Shmona,Logistics Hub 2
178,Dimona,Logistics Hub 3
179,Arad,Logistics Hub 4
180,Eilat,Ice Mall Area
181,Jerusalem,Hebron Road 101
182,Tel Aviv,Dizengoff St 50
183,Haifa,HaAtsmaut 120
184,Beersheba,Kiryat HaMemsala
185,Ashkelon,Eli Cohen St 5
186,Bat Yam,Yoseftal St 92
187,Bnei Brak,Sheshet HaYamim 10
188,Givatayim,Aluf Sadeh 5
189,Ramat Gan,Abba Hillel 12
190,Hod HaSharon,Hatikva St 1
191,Ramat HaSharon,Yavne St 4
192,Nes Ziona,Banim St 10
193,Yavne,Shikma St 5
194,Or Yehuda,Nitzan St 3
195,Yehud,Tamar St 8
196,Kiryat Ata,Zahal St 2
197,Kiryat Motzkin,Goshen St 10
198,Kiryat Bialik,Dafna St 4
199,Kiryat Yam,Namal St 1
200,Ma'ale Adumim,Hagit St 2
201,Jerusalem,Industrial Area Talpiot 5
202,Tel Aviv,Rothschild Blvd 10
203,Haifa,Technion Area
204,Beersheba,River Park
205,Eilat,Coral Beach Rd
206,Ashdod,Ad Halom Junction
207,Netanya,Iris St 4
208,Petah Tikva,Siv St 5
209,Rishon LeZion,Soreq Area
210,Holon,Merkava St 40
211,Rehovot,Kiryat Moshe
212,Herzliya,Ziv St 2
213,Ra'anana,HaTidhar St 1
214,Modi'in,Technology Park
215,Hadera,Industrial East
216,Kfar Saba,Atir Yeda St 5
217,Lod,Ben Gurion Airport Zone
218,Ramla,Industrial South
219,Beit Shemesh,Ramat Beit Shemesh
220,Acre,Old City Port
221,Tiberias,Lower Town
222,Nazareth,Mary's Well Area
223,Karmiel,Galilee Park
224,Nahariya,Coastal Road
225,Afula,New Ind. Zone
226,Kiryat Gat,Fab 28 Area
227,Kiryat Shmona,Industrial North
228,Dimona,Nuclear Hub Area
229,Arad,Desert Hub
230,Eilat,Shahmon North
231,Jerusalem,Ramot Alon 4
232,Tel Aviv,Haneviim St 5
233,Haifa,Haneviim St 10
234,Beersheba,Haneviim St 15
235,Ashkelon,Haneviim St 20
236,Bat Yam,Haneviim St 25
237,Bnei Brak,Haneviim St 30
238,Givatayim,Haneviim St 35
239,Ramat Gan,Haneviim St 40
240,Hod HaSharon,Haneviim St 45
241,Ramat HaSharon,Haneviim St 50
242,Nes Ziona,Haneviim St 55
243,Yavne,Haneviim St 60
244,Or Yehuda,Haneviim St 65
245,Yehud,Haneviim St 70
246,Kiryat Ata,Haneviim St 75
247,Kiryat Motzkin,Haneviim St 80
248,Kiryat Bialik,Haneviim St 85
249,Kiryat Yam,Haneviim St 90
250,Ma'ale Adumim,Haneviim St 95
251,Jerusalem,Sderot Eshkol 1
252,Tel Aviv,Sderot Eshkol 2
253,Haifa,Sderot Eshkol 3
254,Beersheba,Sderot Eshkol 4
255,Eilat,Sderot Eshkol 5
256,Ashdod,Sderot Eshkol 6
257,Netanya,Sderot Eshkol 7
258,Petah Tikva,Sderot Eshkol 8
259,Rishon LeZion,Sderot Eshkol 9
260,Holon,Sderot Eshkol 10
261,Rehovot,Sderot Eshkol 11
262,Herzliya,Sderot Eshkol 12
263,Ra'anana,Sderot Eshkol 13
264,Modi'in,Sderot Eshkol 14
265,Hadera,Sderot Eshkol 15
266,Kfar Saba,Sderot Eshkol 16
267,Lod,Sderot Eshkol 17
268,Ramla,Sderot Eshkol 18
269,Beit Shemesh,Sderot Eshkol 19
270,Acre,Sderot Eshkol 20
271,Tiberias,Sderot Eshkol 21
272,Nazareth,Sderot Eshkol 22
273,Karmiel,Sderot Eshkol 23
274,Nahariya,Sderot Eshkol 24
275,Afula,Sderot Eshkol 25
276,Kiryat Gat,Sderot Eshkol 26
277,Kiryat Shmona,Sderot Eshkol 27
278,Dimona,Sderot Eshkol 28
279,Arad,Sderot Eshkol 29
280,Eilat,Sderot Eshkol 30
281,Jerusalem,Ben Zvi Blvd 10
282,Tel Aviv,Ben Zvi Blvd 20
283,Haifa,Ben Zvi Blvd 30
284,Beersheba,Ben Zvi Blvd 40
285,Ashkelon,Ben Zvi Blvd 50
286,Bat Yam,Ben Zvi Blvd 60
287,Bnei Brak,Ben Zvi Blvd 70
288,Givatayim,Ben Zvi Blvd 80
289,Ramat Gan,Ben Zvi Blvd 90
290,Hod HaSharon,Ben Zvi Blvd 100
291,Ramat HaSharon,Ben Zvi Blvd 110
292,Nes Ziona,Ben Zvi Blvd 120
293,Yavne,Ben Zvi Blvd 130
294,Or Yehuda,Ben Zvi Blvd 140
295,Yehud,Ben Zvi Blvd 150
296,Kiryat Ata,Ben Zvi Blvd 160
297,Kiryat Motzkin,Ben Zvi Blvd 170
298,Kiryat Bialik,Ben Zvi Blvd 180
299,Kiryat Yam,Ben Zvi Blvd 190
300,Ma'ale Adumim,Ben Zvi Blvd 200
301,Jerusalem,Route 1 Logistics Park
302,Tel Aviv,Route 2 Exit 5
303,Haifa,Route 4 Junction North
304,Beersheba,Route 40 Logistics
305,Eilat,Route 90 Hub
306,Ashdod,Port Exit 4
307,Netanya,Industrial North 5
308,Petah Tikva,Yarkon Hub
309,Rishon LeZion,Soreq Hub
310,Holon,Azor Hub
311,Rehovot,Bilu Hub
312,Herzliya,Marina Hub
313,Ra'anana,Park Hub
314,Modi'in,Maccabim Hub
315,Hadera,Western Hub
316,Kfar Saba,Industrial South 2
317,Lod,Railway Hub
318,Ramla,Prison Hub Area
319,Beit Shemesh,Zanoah Hub
320,Acre,Naaman Hub
321,Tiberias,Sea Hub
322,Nazareth,Hill Hub
323,Karmiel,Mountain Hub
324,Nahariya,Border Hub
325,Afula,Valley Hub B
326,Kiryat Gat,Intel Hub B
327,Kiryat Shmona,Upper Hub
328,Dimona,Desert Hub B
329,Arad,Desert Hub C
330,Eilat,Border Hub South
331,Jerusalem,Mount Scopus 1
332,Tel Aviv,Jaffa Port 1
333,Haifa,Bat Galim 1
334,Beersheba,Ramot 1
335,Ashkelon,Marina 1
336,Bat Yam,Promenade 1
337,Bnei Brak,Industrial 1
338,Givatayim,City 1
339,Ramat Gan,Diamond 1
340,Hod HaSharon,Green 1
341,Ramat HaSharon,Alon 1
342,Nes Ziona,Mada 1
343,Yavne,Yarkon 1
344,Or Yehuda,Harash 1
345,Yehud,Atzmaut 1
346,Kiryat Ata,Histadrut 1
347,Kiryat Motzkin,Goshen 1
348,Kiryat Bialik,Dafna 1
349,Kiryat Yam,Sea 1
350,Ma'ale Adumim,Mishor 1
351,Jerusalem,Zionist St 1
352,Tel Aviv,Zionist St 2
353,Haifa,Zionist St 3
354,Beersheba,Zionist St 4
355,Eilat,Zionist St 5
356,Ashdod,Zionist St 6
357,Netanya,Zionist St 7
358,Petah Tikva,Zionist St 8
359,Rishon LeZion,Zionist St 9
360,Holon,Zionist St 10
361,Rehovot,Zionist St 11
362,Herzliya,Zionist St 12
363,Ra'anana,Zionist St 13
364,Modi'in,Zionist St 14
365,Hadera,Zionist St 15
366,Kfar Saba,Zionist St 16
367,Lod,Zionist St 17
368,Ramla,Zionist St 18
369,Beit Shemesh,Zionist St 19
370,Acre,Zionist St 20
371,Tiberias,Zionist St 21
372,Nazareth,Zionist St 22
373,Karmiel,Zionist St 23
374,Nahariya,Zionist St 24
375,Afula,Zionist St 25
376,Kiryat Gat,Zionist St 26
377,Kiryat Shmona,Zionist St 27
378,Dimona,Zionist St 28
379,Arad,Zionist St 29
380,Eilat,Zionist St 30
381,Jerusalem,Golda Meir 1
382,Tel Aviv,Golda Meir 2
383,Haifa,Golda Meir 3
384,Beersheba,Golda Meir 4
385,Ashkelon,Golda Meir 5
386,Bat Yam,Golda Meir 6
387,Bnei Brak,Golda Meir 7
388,Givatayim,Golda Meir 8
389,Ramat Gan,Golda Meir 9
390,Hod HaSharon,Golda Meir 10
391,Ramat HaSharon,Golda Meir 11
392,Nes Ziona,Golda Meir 12
393,Yavne,Golda Meir 13
394,Or Yehuda,Golda Meir 14
395,Yehud,Golda Meir 15
396,Kiryat Ata,Golda Meir 16
397,Kiryat Motzkin,Golda Meir 17
398,Kiryat Bialik,Golda Meir 18
399,Kiryat Yam,Golda Meir 19
400,Ma'ale Adumim,Golda Meir 20
401,Jerusalem,Rabin 100
402,Tel Aviv,Rabin 200
403,Haifa,Rabin 300
404,Beersheba,Rabin 400
405,Eilat,Rabin 500
406,Ashdod,Rabin 600
407,Netanya,Rabin 700
408,Petah Tikva,Rabin 800
409,Rishon LeZion,Rabin 900
410,Holon,Rabin 1000
411,Rehovot,Rabin 1100
412,Herzliya,Rabin 1200
413,Ra'anana,Rabin 1300
414,Modi'in,Rabin 1400
415,Hadera,Rabin 1500
416,Kfar Saba,Rabin 1600
417,Lod,Rabin 1700
418,Ramla,Rabin 1800
419,Beit Shemesh,Rabin 1900
420,Acre,Rabin 2000
421,Tiberias,Rabin 2100
422,Nazareth,Rabin 2200
423,Karmiel,Rabin 2300
424,Nahariya,Rabin 2400
425,Afula,Rabin 2500
426,Kiryat Gat,Rabin 2600
427,Kiryat Shmona,Rabin 2700
428,Dimona,Rabin 2800
429,Arad,Rabin 2900
430,Eilat,Rabin 3000
431,Jerusalem,Begin 10
432,Tel Aviv,Begin 20
433,Haifa,Begin 30
434,Beersheba,Begin 40
435,Ashkelon,Begin 50
436,Bat Yam,Begin 60
437,Bnei Brak,Begin 70
438,Givatayim,Begin 80
439,Ramat Gan,Begin 90
440,Hod HaSharon,Begin 100
441,Ramat HaSharon,Begin 110
442,Nes Ziona,Begin 120
443,Yavne,Begin 130
444,Or Yehuda,Begin 140
445,Yehud,Begin 150
446,Kiryat Ata,Begin 160
447,Kiryat Motzkin,Begin 170
448,Kiryat Bialik,Begin 180
449,Kiryat Yam,Begin 190
450,Ma'ale Adumim,Begin 200
451,Jerusalem,Herzog 1
452,Tel Aviv,Herzog 2
453,Haifa,Herzog 3
454,Beersheba,Herzog 4
455,Eilat,Herzog 5
456,Ashdod,Herzog 6
457,Netanya,Herzog 7
458,Petah Tikva,Herzog 8
459,Rishon LeZion,Herzog 9
460,Holon,Herzog 10
461,Rehovot,Herzog 11
462,Herzliya,Herzog 12
463,Ra'anana,Herzog 13
464,Modi'in,Herzog 14
465,Hadera,Herzog 15
466,Kfar Saba,Herzog 16
467,Lod,Herzog 17
468,Ramla,Herzog 18
469,Beit Shemesh,Herzog 19
470,Acre,Herzog 20
471,Tiberias,Herzog 21
472,Nazareth,Herzog 22
473,Karmiel,Herzog 23
474,Nahariya,Herzog 24
475,Afula,Herzog 25
476,Kiryat Gat,Herzog 26
477,Kiryat Shmona,Herzog 27
478,Dimona,Herzog 28
479,Arad,Herzog 29
480,Eilat,Herzog 30
481,Jerusalem,Ben Gurion 101
482,Tel Aviv,Ben Gurion 102
483,Haifa,Ben Gurion 103
484,Beersheba,Ben Gurion 104
485,Ashkelon,Ben Gurion 105
486,Bat Yam,Ben Gurion 106
487,Bnei Brak,Ben Gurion 107
488,Givatayim,Ben Gurion 108
489,Ramat Gan,Ben Gurion 109
490,Hod HaSharon,Ben Gurion 110
491,Ramat HaSharon,Ben Gurion 111
492,Nes Ziona,Ben Gurion 112
493,Yavne,Ben Gurion 113
494,Or Yehuda,Ben Gurion 114
495,Yehud,Ben Gurion 115
496,Kiryat Ata,Ben Gurion 116
497,Kiryat Motzkin,Ben Gurion 117
498,Kiryat Bialik,Ben Gurion 118
499,Kiryat Yam,Ben Gurion 119
500,Ma'ale Adumim,Ben Gurion 120
