ProductID,WarehouseID,AisleNb,ShelfNb
334,80,5,1
335,458,16,8
336,15,1,2
337,362,22,6
338,111,7,4
339,320,14,5
340,68,4,3
341,495,20,7
342,142,6,1
343,385,25,8
344,45,2,2
345,415,18,6
346,185,9,5
347,355,13,7
348,97,5,1
349,442,23,6
350,131,8,4
351,305,15,8
352,22,1,3
353,425,19,5
354,171,7,2
355,338,24,7
356,74,3,1
357,482,17,6
358,115,6,5
359,370,21,8
360,59,2,4
361,400,16,7
362,158,9,2
363,292,14,5
364,88,4,1
365,468,22,6
366,102,8,3
367,315,20,5
368,34,1,2
369,392,25,8
370,145,7,4
371,348,18,6
372,61,3,1
373,435,15,7
374,188,6,3
375,325,23,5
376,91,5,2
377,452,19,8
378,126,9,1
379,380,13,6
380,47,2,5
381,410,24,7
382,176,8,4
383,280,17,5
384,77,4,1
385,475,21,6
386,108,6,2
387,358,16,8
388,18,1,3
389,445,22,5
390,161,7,4
391,330,14,7
392,85,3,2
393,490,20,6
394,134,9,1
395,365,15,8
396,64,2,3
397,422,25,5
398,119,8,2
399,308,18,6
400,95,5,4
401,402,23,7
402,154,6,1
403,342,19,5
404,26,1,2
405,458,13,8
406,182,7,3
407,320,24,6
408,71,4,1
409,438,17,5
410,105,9,4
411,385,21,7
412,42,2,2
413,470,16,6
414,148,8,5
415,295,22,8
416,82,3,1
417,415,15,6
418,170,6,3
419,350,20,7
420,55,1,4
421,485,18,5
422,125,7,2
423,312,23,8
424,98,5,1
425,448,14,6
426,192,9,3
427,335,25,5
428,68,4,2
429,405,19,7
430,111,8,1
431,372,22,6
432,31,2,5
433,462,17,8
434,165,6,4
435,285,13,7
436,86,3,1
437,428,24,5
438,138,7,2
439,395,16,6
440,58,1,3
441,452,21,8
442,185,9,4
443,322,15,5
444,74,5,1
445,492,20,7
446,115,8,2
447,348,18,6
448,45,2,5
449,418,23,8
450,152,6,3
451,300,14,7
452,91,4,1
453,475,25,5
454,124,7,4
455,365,19,6
456,22,1,2
457,432,22,8
458,178,9,3
459,330,13,5
460,65,3,1
461,408,24,7
462,108,8,5
463,380,17,6
464,52,2,2
465,465,21,8
466,145,6,4
467,290,15,5
468,81,5,1
469,422,20,7
470,195,9,2
471,315,16,6
472,36,1,3
473,442,18,8
474,161,7,5
475,355,23,6
476,77,4,1
477,485,14,5
478,118,8,2
479,342,25,7
480,48,2,4
481,400,22,6
482,131,6,3
483,280,19,8
484,94,3,1
485,455,17,5
486,172,9,4
487,368,13,7
488,61,1,2
489,435,24,6
490,155,7,5
491,325,20,8
492,85,5,3
493,478,15,6
494,105,8,1
495,392,21,7
496,28,2,2
497,415,18,5
498,188,6,4
499,305,25,8
500,72,4,1
501,490,14,6
502,122,9,5
503,350,16,7
504,55,1,3
505,445,23,5
506,148,7,2
507,332,19,8
508,88,3,4
509,425,22,6
510,165,8,1
511,285,13,5
512,41,2,3
513,468,17,7
514,111,6,2
515,385,24,6
516,78,5,1
517,402,20,8
518,198,9,4
519,315,15,5
520,64,1,2
521,438,21,7
522,134,7,5
523,360,18,6
524,91,4,3
525,482,25,8
526,175,8,1
527,345,14,5
528,45,2,4
529,412,23,6
530,158,6,2
531,295,16,7
532,82,3,1
533,455,22,8
534,124,9,5
535,320,19,6
536,58,1,3
537,405,13,5
538,185,7,4
539,375,24,8
540,101,5,2
541,440,20,6
542,68,2,1
543,308,17,5
544,145,8,3
545,495,21,7
546,115,6,4
547,358,15,8
548,22,1,2
549,428,25,6
550,161,9,1
551,340,14,5
552,74,4,3
553,472,18,8
554,131,7,2
555,388,22,6
556,48,2,5
557,415,16,7
558,192,8,1
559,280,23,5
560,86,3,4
561,460,19,8
562,128,6,2
563,335,13,6
564,52,1,1
565,400,24,7
566,178,9,5
567,312,20,5
568,94,5,3
569,485,15,8
570,142,7,1
571,365,21,6
572,36,2,2
573,448,17,5
574,108,8,4
575,290,25,7
576,61,4,1
577,435,14,6
578,188,6,5
579,352,22,8
580,77,1,3
581,422,18,5
582,155,9,2
583,380,23,7
584,42,3,1
585,475,16,6
586,118,7,4
587,305,19,8
588,81,2,5
589,410,24,5
590,172,8,2
591,338,15,6
592,65,5,1
593,465,20,8
594,134,6,3
595,395,25,7
596,25,1,4
597,452,13,6
598,196,9,1
599,322,21,5
600,98,4,2
601,488,17,8
602,148,7,5
603,348,22,6
604,50,2,1
605,405,18,7
606,111,8,3
607,295,14,5
608,71,3,2
609,442,23,8
610,165,6,1
611,368,19,6
612,18,1,5
613,425,24,7
614,124,9,2
615,385,16,5
616,84,4,4
617,492,20,8
618,181,7,1
619,315,15,6
620,45,2,3
621,460,21,5
622,138,8,2
623,355,25,7
624,68,5,1
625,418,13,8
626,192,6,4
627,330,18,6
628,91,1,2
629,478,22,5
630,152,9,3
631,285,17,7
632,58,4,1
633,408,23,8
634,115,7,5
635,392,14,6
636,29,2,2
637,448,19,5
638,175,8,4
639,308,24,7
640,86,3,1
641,432,16,8
642,141,6,5
643,365,20,6
644,62,1,3
645,485,25,5
646,128,9,2
647,342,15,7
648,74,5,1
649,415,21,8
650,162,7,4
