DriverID,Active,Capacity,LicensePlate,MaintenanceStatus,DeliveryCieID
124,1,3,35-504-YD,Good,25
125,1,2,35-505-YE,Good,25
126,1,1,36-601-ZA,Fair,26
127,1,3,36-602-ZB,Good,26
128,1,2,36-603-ZC,Good,26
129,1,1,36-604-ZD,Good,26
130,1,3,36-605-ZE,Maintenance Required,26
131,1,2,37-701-AB,Good,27
132,1,1,37-702-AC,Good,27
133,1,3,37-703-AD,Good,27
134,1,2,37-704-AE,Fair,27
135,1,1,37-705-AF,Good,27
136,1,3,38-801-BC,Good,28
137,0,2,38-802-BD,Good,28
138,1,1,38-803-BE,Maintenance Required,28
139,1,3,38-804-BF,Good,28
140,1,2,38-805-BG,Good,28
141,1,1,39-901-CD,Good,29
142,1,3,39-902-CE,Fair,29
143,1,2,39-903-CF,Good,29
144,1,1,39-904-CG,Good,29
145,1,3,39-905-CH,Good,29
146,1,2,40-001-DE,Good,30
147,1,1,40-002-DF,Good,30
148,1,3,40-003-DG,Maintenance Required,30
149,1,2,40-004-DH,Good,30
150,1,1,40-005-DI,Fair,30
151,1,3,41-101-EF,Good,31
152,1,2,41-102-EG,Good,31
153,0,1,41-103-EH,Good,31
154,1,3,41-104-EI,Good,31
155,1,2,41-105-EJ,Good,31
156,1,1,42-201-FG,Fair,32
157,1,3,42-202-FH,Good,32
158,1,2,42-203-FI,Good,32
159,1,1,42-204-FJ,Maintenance Required,32
160,1,3,42-205-FK,Good,32
161,1,2,43-301-GH,Good,33
162,1,1,43-302-GI,Good,33
163,1,3,43-303-GJ,Good,33
164,1,2,43-304-GK,Fair,33
165,1,1,43-305-GL,Good,33
166,0,3,44-401-HI,Good,34
167,1,2,44-402-HJ,Maintenance Required,34
168,1,1,44-403-HK,Good,34
169,1,3,44-404-HL,Good,34
170,1,2,44-405-HM,Good,34
171,1,1,45-501-IJ,Fair,35
172,1,3,45-502-IK,Good,35
173,1,2,45-503-IL,Good,35
174,1,1,45-504-IM,Good,35
175,1,3,45-505-IN,Good,35
176,1,2,46-601-JK,Maintenance Required,36
177,1,1,46-602-JL,Good,36
178,1,3,46-603-JM,Good,36
179,1,2,46-604-JN,Fair,36
180,1,1,46-605-JO,Good,36
181,1,3,47-701-KL,Good,37
182,1,2,47-702-KM,Good,37
183,1,1,47-703-KN,Good,37
184,0,3,47-704-KO,Good,37
185,1,2,47-705-KP,Fair,37
186,1,1,48-801-LM,Maintenance Required,38
187,1,3,48-802-LN,Good,38
188,1,2,48-803-LO,Good,38
189,1,1,48-804-LP,Good,38
190,1,3,48-805-LQ,Good,38
191,1,2,49-901-MN,Fair,39
192,1,1,49-902-MO,Good,39
193,1,3,49-903-MP,Good,39
194,1,2,49-904-MQ,Good,39
195,1,1,49-905-MR,Maintenance Required,39
196,1,3,50-001-NO,Good,40
197,0,2,50-002-NP,Good,40
198,1,1,50-003-NQ,Good,40
199,1,3,50-004-NR,Fair,40
200,1,2,50-005-NS,Good,40
201,1,1,51-101-PA,Good,41
202,1,3,51-102-PB,Good,41
203,1,2,51-103-PC,Maintenance Required,41
204,1,1,51-104-PD,Good,41
205,1,3,51-105-PE,Fair,41
206,1,2,52-201-QA,Good,42
207,1,1,52-202-QB,Good,42
208,1,3,52-203-QC,Good,42
209,0,2,52-204-QD,Good,42
210,1,1,52-205-QE,Fair,42
211,1,3,53-301-RA,Maintenance Required,43
212,1,2,53-302-RB,Good,43
213,1,1,53-303-RC,Good,43
214,1,3,53-304-RD,Good,43
215,1,2,53-305-RE,Good,43
216,1,1,54-401-SA,Fair,44
217,1,3,54-402-SB,Good,44
218,1,2,54-403-SC,Good,44
219,1,1,54-404-SD,Good,44
220,1,3,54-405-SE,Maintenance Required,44
221,1,2,55-501-TA,Good,45
222,0,1,55-502-TB,Good,45
223,1,3,55-503-TC,Good,45
224,1,2,55-504-TD,Fair,45
225,1,1,55-505-TE,Good,45
226,1,3,56-601-UA,Good,46
227,1,2,56-602-UB,Maintenance Required,46
228,1,1,56-603-UC,Good,46
229,1,3,56-604-UD,Good,46
230,1,2,56-605-UE,Fair,46
231,1,1,57-701-VA,Good,47
232,1,3,57-702-VB,Good,47
233,1,2,57-703-VC,Good,47
234,0,1,57-704-VD,Good,47
235,1,3,57-705-VE,Fair,47
236,1,2,58-801-WA,Maintenance Required,48
237,1,1,58-802-WB,Good,48
238,1,3,58-803-WC,Good,48
239,1,2,58-804-WD,Good,48
240,1,1,58-805-WE,Good,48
241,1,3,59-901-XA,Fair,49
242,1,2,59-902-XB,Good,49
243,1,1,59-903-XC,Good,49
244,1,3,59-904-XD,Maintenance Required,49
245,1,2,59-905-XE,Good,49
246,1,1,60-001-YA,Good,50
247,0,3,60-002-YB,Good,50
248,1,2,60-003-YC,Fair,50
249,1,1,60-004-YD,Good,50
250,1,3,60-005-YE,Good,50
251,1,2,61-101-ZA,Maintenance Required,51
252,1,1,61-102-ZB,Good,51
253,1,3,61-103-ZC,Good,51
254,1,2,61-104-ZD,Fair,51
255,1,1,61-105-ZE,Good,51
256,1,3,62-201-AA,Good,52
257,1,2,62-202-BB,Good,52
258,1,1,62-203-CC,Maintenance Required,52
259,1,3,62-204-DD,Good,52
260,0,2,62-205-EE,Fair,52
261,1,1,63-301-FF,Good,53
262,1,3,63-302-GG,Good,53
263,1,2,63-303-HH,Good,53
264,1,1,63-304-II,Good,53
265,1,3,63-305-JJ,Fair,53
266,1,2,64-401-KK,Maintenance Required,54
267,1,1,64-402-LL,Good,54
268,1,3,64-403-MM,Good,54
269,1,2,64-404-NN,Good,54
270,1,1,64-405-OO,Good,54
271,1,3,65-501-PP,Fair,55
272,0,2,65-502-QQ,Good,55
273,1,1,65-503-RR,Good,55
274,1,3,65-504-SS,Maintenance Required,55
275,1,2,65-505-TT,Good,55
276,1,1,66-601-UU,Good,56
277,1,3,66-602-VV,Fair,56
278,1,2,66-603-WW,Good,56
279,1,1,66-604-XX,Good,56
280,1,3,66-605-YY,Good,56
281,1,2,67-701-ZZ,Maintenance Required,57
282,1,1,67-702-A1,Good,57
283,1,3,67-703-B2,Good,57
284,1,2,67-704-C3,Fair,57
285,0,1,67-705-D4,Good,57
286,1,3,68-801-E5,Good,58
287,1,2,68-802-F6,Good,58
288,1,1,68-803-G7,Maintenance Required,58
289,1,3,68-804-H8,Good,58
290,1,2,68-805-I9,Fair,58
291,1,1,69-901-J0,Good,59
292,1,3,69-902-K1,Good,59
293,1,2,69-903-L2,Good,59
294,1,1,69-904-M3,Good,59
295,1,3,69-905-N4,Maintenance Required,59
296,1,2,70-001-O5,Fair,60
297,0,1,70-002-P6,Good,60
298,1,3,70-003-Q7,Good,60
299,1,2,70-004-R8,Good,60
300,1,1,70-005-S9,Good,60
301,1,3,71-101-T0,Maintenance Required,61
302,1,2,71-102-U1,Good,61
303,1,1,71-103-V2,Fair,61
304,1,3,71-104-W3,Good,61
305,1,2,71-105-X4,Good,61
306,1,1,72-201-Y5,Good,62
307,1,3,72-202-Z6,Good,62
308,0,2,72-203-A7,Maintenance Required,62
309,1,1,72-204-B8,Fair,62
310,1,3,72-205-C9,Good,62
311,1,2,73-301-D0,Good,63
312,1,1,73-302-E1,Good,63
313,1,3,73-303-F2,Good,63
314,1,2,73-304-G3,Maintenance Required,63
315,1,1,73-305-H4,Fair,63
316,1,3,74-401-I5,Good,64
317,1,2,74-402-J6,Good,64
318,1,1,74-403-K7,Good,64
319,1,3,74-404-L8,Good,64
320,0,2,74-405-M9,Fair,64
321,1,1,75-501-N0,Maintenance Required,65
322,1,3,75-502-O1,Good,65
323,1,2,75-503-P2,Good,65
324,1,1,75-504-Q3,Good,65
325,1,3,75-505-R4,Fair,65
326,1,2,76-601-S5,Good,66
327,1,1,76-602-T6,Good,66
328,1,3,76-603-U7,Maintenance Required,66
329,1,2,76-604-V8,Good,66
330,1,1,76-605-W9,Fair,66
331,1,3,77-701-X0,Good,67
332,0,2,77-702-Y1,Good,67
333,1,1,77-703-Z2,Good,67
334,1,3,77-704-A3,Good,67
335,1,2,77-705-B4,Maintenance Required,67
336,1,1,78-801-C5,Fair,68
337,1,3,78-802-D6,Good,68
338,1,2,78-803-E7,Good,68
339,1,1,78-804-F8,Good,68
340,1,3,78-805-G9,Good,68
341,1,2,79-901-H0,Maintenance Required,69
342,1,1,79-902-I1,Fair,69
343,1,3,79-903-J2,Good,69
344,0,2,79-904-K3,Good,69
345,1,1,79-905-L4,Good,69
346,1,3,80-001-M5,Good,70
347,1,2,80-002-N6,Good,70
348,1,1,80-003-O7,Fair,70
349,1,3,80-004-P8,Maintenance Required,70
350,1,2,80-005-Q9,Good,70
351,1,1,81-101-R0,Good,71
352,1,3,81-102-S1,Good,71
353,1,2,81-103-T2,Good,71
354,1,1,81-104-U3,Fair,71
355,0,3,81-105-V4,Maintenance Required,71
356,1,2,82-201-W5,Good,72
357,1,1,82-202-X6,Good,72
358,1,3,82-203-Y7,Good,72
359,1,2,82-204-Z8,Good,72
360,1,1,82-205-A9,Fair,72
361,1,3,83-301-B0,Maintenance Required,73
362,1,2,83-302-C1,Good,73
363,1,1,83-303-D2,Good,73
364,1,3,83-304-E3,Good,73
365,1,2,83-305-F4,Good,73
366,0,1,84-401-G5,Fair,74
367,1,3,84-402-H6,Good,74
368,1,2,84-403-I7,Maintenance Required,74
369,1,1,84-404-J8,Good,74
370,1,3,84-405-K9,Good,74
371,1,2,85-501-L0,Good,75
372,1,1,85-502-M1,Fair,75
373,1,3,85-503-N2,Good,75
374,1,2,85-504-O3,Good,75
375,1,1,85-505-P4,Maintenance Required,75
376,1,3,86-601-Q5,Good,76
377,0,2,86-602-R6,Good,76
378,1,1,86-603-S7,Fair,76
379,1,3,86-604-T8,Good,76
380,1,2,86-605-U9,Good,76
381,1,1,87-701-V0,Good,77
382,1,3,87-702-W1,Maintenance Required,77
383,1,2,87-703-X2,Good,77
384,1,1,87-704-Y3,Fair,77
385,1,3,87-705-Z4,Good,77
386,1,2,88-801-A5,Good,78
387,0,1,88-802-B6,Good,78
388,1,3,88-803-C7,Good,78
389,1,2,88-804-D8,Maintenance Required,78
390,1,1,88-805-E9,Fair,78
391,1,3,89-901-F0,Good,79
392,1,2,89-902-G1,Good,79
393,1,1,89-903-H2,Good,79
394,1,3,89-904-I3,Good,79
395,1,2,89-905-J4,Fair,79
396,1,1,90-001-K5,Maintenance Required,80
397,0,3,90-002-L6,Good,80
398,1,2,90-003-M7,Good,80
399,1,1,90-004-N8,Good,80
400,1,3,90-005-O9,Good,80
401,1,2,91-101-P0,Fair,81
402,1,1,91-102-Q1,Good,81
403,1,3,91-103-R2,Maintenance Required,81
404,1,2,91-104-S3,Good,81
405,1,1,91-105-T4,Good,81
406,1,3,92-201-U5,Good,82
407,0,2,92-202-V6,Fair,82
408,1,1,92-203-W7,Good,82
409,1,3,92-204-X8,Good,82
410,1,2,92-205-Y9,Maintenance Required,82
411,1,1,93-301-Z0,Good,83
412,1,3,93-302-A1,Good,83
413,1,2,93-303-B2,Fair,83
414,1,1,93-304-C3,Good,83
415,1,3,93-305-D4,Good,83
416,1,2,94-401-E5,Good,84
417,0,1,94-402-F6,Maintenance Required,84
418,1,3,94-403-G7,Good,84
419,1,2,94-404-H8,Fair,84
420,1,1,94-405-I9,Good,84
421,1,3,95-501-J0,Good,85
422,1,2,95-502-K1,Good,85
423,1,1,95-503-L2,Good,85
424,1,3,95-504-M3,Fair,85
425,1,2,95-505-N4,Maintenance Required,85
426,1,1,96-601-O5,Good,86
427,0,3,96-602-P6,Good,86
428,1,2,96-603-Q7,Good,86
429,1,1,96-604-R8,Good,86
430,1,3,96-605-S9,Fair,86
431,1,2,97-701-T0,Maintenance Required,87
432,1,1,97-702-U1,Good,87
433,1,3,97-703-V2,Good,87
434,1,2,97-704-W3,Good,87
435,1,1,97-705-X4,Good,87
436,1,3,98-801-Y5,Fair,88
437,0,2,98-802-Z6,Good,88
438,1,1,98-803-A7,Maintenance Required,88
439,1,3,98-804-B8,Good,88
440,1,2,98-805-C9,Good,88
441,1,1,99-901-D0,Good,89
442,1,3,99-902-E1,Good,89
443,1,2,99-903-F2,Fair,89
444,1,1,99-904-G3,Maintenance Required,89
445,1,3,99-905-H4,Good,89
446,1,2,100-001-I5,Good,90
447,0,1,100-002-J6,Good,90
448,1,3,100-003-K7,Good,90
449,1,2,100-004-L8,Fair,90
450,1,1,100-005-M9,Good,90
451,1,3,01-101-AA,Good,91
452,1,2,01-102-BB,Maintenance Required,91
453,1,1,01-103-CC,Good,91
454,1,3,01-104-DD,Good,91
455,1,2,01-105-EE,Fair,91
456,1,1,02-201-FF,Good,92
457,0,3,02-202-GG,Good,92
458,1,2,02-203-HH,Good,92
459,1,1,02-204-II,Good,92
460,1,3,02-205-JJ,Fair,92
461,1,2,03-301-KK,Maintenance Required,93
462,1,1,03-302-LL,Good,93
463,1,3,03-303-MM,Good,93
464,1,2,03-304-NN,Good,93
465,1,1,03-305-OO,Good,93
466,1,3,04-401-PP,Fair,94
467,0,2,04-402-QQ,Good,94
468,1,1,04-403-RR,Maintenance Required,94
469,1,3,04-404-SS,Good,94
470,1,2,04-405-TT,Good,94
471,1,1,05-501-UU,Good,95
472,1,3,05-502-VV,Good,95
473,1,2,05-503-WW,Fair,95
474,1,1,05-504-XX,Maintenance Required,95
475,1,3,05-505-YY,Good,95
476,1,2,06-601-ZZ,Good,96
477,0,1,06-602-A1,Good,96
478,1,3,06-603-B2,Good,96
479,1,2,06-604-C3,Fair,96
480,1,1,06-605-D4,Good,96
481,1,3,07-701-E5,Maintenance Required,97
482,1,2,07-702-F6,Good,97
483,1,1,07-703-G7,Good,97
484,1,3,07-704-H8,Good,97
485,1,2,07-705-I9,Fair,97
486,1,1,08-801-J0,Good,98
487,0,3,08-802-K1,Good,98
488,1,2,08-803-L2,Maintenance Required,98
489,1,1,08-804-M3,Good,98
490,1,3,08-805-N4,Good,98
491,1,2,09-901-O5,Fair,99
492,1,1,09-902-P6,Good,99
493,1,3,09-903-Q7,Good,99
494,1,2,09-904-R8,Maintenance Required,99
495,1,1,09-905-S9,Good,99
496,1,3,10-001-T0,Good,100
497,0,2,10-002-U1,Good,100
498,1,1,10-003-V2,Fair,100
499,1,3,10-004-W3,Good,100
500,1,2,10-005-X4,Good,100
